""
Abbreviation,ts_
""
Field,_activePersonId
Question type,Unknown input
Question,Who do you want to continue the interview for?
""
Field,_showNewPersonPopupButton
Question type,Unknown input
Question,We'll start with the trips made by {{nickname}}
""
""
""
Section,Trips introduction
Abbreviation,ti_
""
Field,buttonSwitchPerson
Question type,Unknown input
Question,Change person
""
Field,_showNewPersonPopupButton
Question type,Unknown input
Question,We'll start with the trips made by {{nickname}}
""
Field,whoAnswers
Question type,Unknown input
Question,Who is responding for {{nickname}}?
""
Field,personDidTrips
Question type,Unknown input
Question,"Did {{nickname}} make any trips on {{assignedDate}}?
Include all trips, whether for personal reasons (shopping, outings, leisure, etc.), for work, or to pick up or drop someone off."
""
Field,personDidTripsChangeConfirm
Question type,Unknown input
Question,You already declared trip. Do you confirm they are erroneous and that {{person.nickname}} did not make any trips on {{formattedTripsDate}}?
""
Field,didTripsIntro
Question type,Unknown input
Question,"Please specify the places {{nickname}} went on {{assignedDate}} (include all places visited until 4 AM the following morning)

<span class=""_green"">- Include short stops and errands (gas station, daycare/school, convenience store or any place where {{nickname}} picked someone up or dropped someone off).
- Include all places regardless of the mode of transport used to get there (walking, cycling, car, public transit, taxi, plane, boat, etc.).</span>
<span class=""_red"">- Do not include transfer locations (bus stops, train stations, terminals, parking lots, etc.) unless {{nickname}} went there to drop someone off or pick someone up.</span>"
""
Field,departurePlaceIsHome
Question type,Unknown input
Question,"Did {{nickname}} start their day at home ({{address}})?
Answer 'No' only if {{nickname}} did not sleep at home (nuit du {{dayOne}} au {{dayTwo}}) or came home after 4 AM (ex: overnight work shift)."
""
Field,hh_persons.{_activePersonId}.journeys.{_activeJourneyId}.departurePlaceOther
Question type,Radio input
Question,Where was {{nickname}} at 4 AM?
Values,"otherParentHome (ifAge16OrLessConditional : age <= 16 && age !== null) : Home of the other parent or guardian
workedOvernight (isWorkerConditional : occupation === fullTimeWorker || occupation === partTimeWorker || occupation === workerAndStudent) : Worked overnight
secondaryHome : Secondary residence (cottage or other)
sleptAtFriends : Stayed at a friend’s, partner’s or family’s home
restaurant : Was at or was coming back from a restaurant or bar
hotelForWork (isWorkerConditional : occupation === fullTimeWorker || occupation === partTimeWorker || occupation === workerAndStudent) : Hotel or other venue for a conference / work
hotelForVacation : Hôtel or other on vacation
studying (isStudentConditional : occupation === fullTimeStudent || occupation === partTimeStudent || occupation === workerAndStudent) : School / place of study: studied or slept there
other : Other"
""
""
""
Section,Déplacements
Abbreviation,vp_
""
Field,buttonSwitchPerson
Question type,Unknown input
Question,Change person
""
Field,personVisitedPlacesTitle
Question type,Unknown input
Question,"Places {{nickname}} went on {{assignedDate}}:
Chronological order must be respected (i.e. sequence matters)."
""
Field,visitedPlacesMap
Question type,Unknown input
Question,Map of {{nickname}}’s trips on {{assignedDate}}:
""
Field,onTheRoadDepartureType
Question type,Unknown input
Question,What was the departure place of {{nickname}}’s work trip on the road?
""
Field,onTheRoadArrivalType
Question type,Radio input
Question,Where did {{nickname}} end {{gender:his:her:their}} work trip on the road?
Values,"home : Home
usualWorkPlace (onTheRoadUsualWorkplace : workLocationType === onTheRoadWithUsualPlace) : Usual work place
other : Other location
stayedThereUntilTheNextDay : Stayed at this place until the next day"
""
Field,alreadyVisitedBySelfOrAnotherHouseholdMember
Question type,Radio input
Question,"Did you previously locate this place on the map?
In {{nickname}}'s travel diary or that of another household member."
Values,"yes : Yes
no : No"
""
Field,shortcut
Question type,Unknown input
Question,Please select this place from the list of previously located places:
""
Field,geography
Question type,Unknown input
Question,"Please locate this place on the map
Pan, zoom and click on map. Once a pin icon has been dropped, you will be able to drag the icon to specify a more precise location. You can also search for a place using its name or address with the button below."
""
Field,_previousPreviousDepartureTime
Question type,Unknown input
Question,At what time did {{nickname}} leave the previous location ({{visitedPlaceDescription}}) before going to {{gender:his/her/their}} usual work place?
""
Field,visitedPlacesSave
Question type,Unknown input
Question,Confirm
""
Field,vp_save
Question type,Unknown input
Question,Confirm locations and continue
""
""
""
Section,Modes of transport
Abbreviation,s_
""
Field,buttonSwitchPerson
Question type,Unknown input
Question,Change person
""
Field,personTripsTitle
Question type,Unknown input
Question,Trips made by {{nickname}} on {{assignedDate}}
""
Field,segmentsMap
Question type,Unknown input
Question,Map of {{nickname}}’s trips on {{assignedDate}}:
""
Field,segmentsIntro
Question type,Unknown input
Question,"Please indicate all modes of transport used for this trip (from {{originName}} to {{destinationName}}), in chronological order:"
""
Field,segments
Question type,Unknown input
Question,Mode of transport
""
Field,howToBus
Question type,Unknown input
Question,"How did {{nickname}} reach the transit stop?
If the mode used is not present, create a first mode before the transit mode."
""
Field,paidForParking
Question type,Radio input
Question,Paid parking
Values,"yes : Yes
no : No
dontKnow : I don't know"
""
Field,vehicleOccupancy
Question type,RadioNumber
Question,"Persons in the vehicle
Including the driver."
""
Field,driver
Question type,Unknown input
Question,Who drove?
""
Field,onDemandType
Question type,Radio input
Question,Is this an on-demand service?
Values,"pickupAtOrigin : Yes, it picked {{nickname}} up at their departure location
joinedStop : Yes, {{nickname}} went to a stop
no : No"
""
Field,tripJunctionQueryString
Question type,Text input
Question,"Please specify the address or the name of the location where the change in mode of transport occurred (terminal, transit stop, parking lot, etc.) or click directly on map."
""
Field,junctionGeography
Question type,Unknown input
Question,"Please locate the junction point (location where the change in mode of transport occurred).
Navigate, zoom, and click on the map to identify the location. Once located, you can move the marker for greater precision.
You can also search for the place on the map using the name or address indicated above (""Find the place from the name"" button)."
""
Field,save
Question type,Unknown input
Question,Confirm this trip
""
Field,s_save
Question type,Unknown input
Question,Confirm locations and continue
""
""
""
Section,Travel behavior
Abbreviation,tb_
""
Field,buttonSwitchPerson
Question type,Unknown input
Question,Change person
""
Field,personNoWorkTripIntro
Question type,Unknown input
Question,You didn't report any work trips by {{nickname}} on {{assignedDate}}.
""
Field,hh_persons.{_activePersonId}.journeys.{_activeJourneyId}.noWorkTripReason
Question type,Select input
Question,Why ?
Values,"remoteWorkOrWorkAtHome : Remote work / work from home
onStrike : On strike
leaveSicknessPersonalReason : Leave (sick, personal, other)
noWork : No work planned
other : Other
dontKnow : I don't know"
""
Field,hh_persons.{_activePersonId}.journeys.{_activeJourneyId}.noWorkTripReasonSpecify
Question type,Unknown input
Question,Please specify the reason why {{nickname}} made no trip for work on {{assignedDate}} ?
""
Field,personNoSchoolTripIntro
Question type,Unknown input
Question,You didn't report any school trips by {{nickname}} on {{assignedDate}}.
""
Field,hh_persons.{_activePersonId}.journeys.{_activeJourneyId}.noSchoolTripReason
Question type,Select input
Question,Why ?
Values,"distanceLearning : Distance learning
schoolWasClosedStrike : School was closed (strike)
leaveSicknessPersonalReason : Leave (sick, personal, other)
noSchool : No classes
other : Other
dontKnow : I don't know"
""
Field,hh_persons.{_activePersonId}.journeys.{_activeJourneyId}.noSchoolTripReasonSpecify
Question type,Unknown input
Question,Please specify the reason why {{nickname}} made no trip for school on {{assignedDate}} ?
""
""
""
Section,End
Abbreviation,e_
""
Field,hh_ownership
Question type,Radio input
Question,Does your household rent or own your home?
Values,"tenant : Tenant
owner : Owner
other : Other
preferNotToAnswer : I prefer not to respond"
""
Field,hh_income
Question type,Select input
Question,"What was your household's income range before taxes (gross income), in 2023?
Not mandatory"
Values,"000000_009999 : Less than $10,000
010000_019999 : $10,000 to $19,999
020000_029999 : $20,000 to $29,999
030000_039999 : $30,000 to $39,999
040000_049999 : $40,000 to $49,999
050000_059999 : $50,000 to $59,999
060000_069999 : $60,000 to $69,999
070000_079999 : $70,000 to $79,999
080000_089999 : $80,000 to $89,999
090000_099999 : $90,000 to $99,999
100000_149999 : $100,000 to $149,999
150000_199999 : $150,000 to $199,999
200000_999999 : $200,000 and more
dontKnow : I don't know
refusal : I prefer not to respond"
""
Field,wouldLikeToParticipateInOtherSurveysChaireMobilite
Question type,Radio input
Question,Would you be interested in participating in other studies conducted by the Chaire Mobilite at Polytechnique Montreal?
Values,"yes : Yes
no : No"
""
Field,wouldLikeToParticipateInOtherSurveysChaireMobiliteContactEmail
Question type,Text input
Conditional,wantToParticipateInOtherSurveysChaireMobiliteConditional : wouldLikeToParticipateInOtherSurveysChaireMobilite === yes
Question,Please provide the email address where you can be reached to participate in other studies by the Chaire Mobilite.
""
Field,commentsOnSurvey
Question type,Text area input
Question,Your comments and suggestions about the survey (optional)
""
Field,hh_hybridCarNumber
Question type,RadioNumber
Conditional,householdHasCars : hh_carNumber >= 1
Question,"Among the vehicles owned by your household, how many are plug-in hybrid vehicles?"
""
Field,hh_electricCarNumber
Question type,RadioNumber
Conditional,householdHasCars : hh_carNumber >= 1
Question,"Among the vehicles owned by your household, how many are electric vehicles?"
""
Field,durationOfSurvey
Question type,Range input
Question,"Do you feel that the length of the survey was too short, about right, or too long?"
Values,"0 : Too short
50 : Just right
100 : Too long"
""
Field,timeSpentAnswering
Question type,Number input
Question,How much time do you think you spent answering this survey (in minutes)?
""
Field,interestOfTheSurvey
Question type,Range input
Question,How interesting was this survey to you?
Values,"0 : Not at all
50 : Neutral
100 : Very interesting"
""
Field,difficultyOfTheSurvey
Question type,Range input
Question,How easy or difficult was it for you to answer the questions in this survey?
Values,"0 : Very easy
50 : Moderately difficult
100 : Very difficult"
""
Field,burdenOfTheSurvey
Question type,Range input
Question,How burdensome (demanding) did you find this survey to be?
Values,"0 : Not at all
50 : Moderately burdensome
100 : Very burdensome"
""
Field,consideredAbandoningSurvey
Question type,Radio input
Question,"Have you considered, at any point, to abandon the survey?"
Values,"yes : Yes
no : No
dontKnow : I don't know"
